issuer,ticker,basket,country,sector,recognition_score,internal_rating,equity_ticker,cds_ticker
Viatris,VTRS,Global Healthcare and Pharma,United States,Healthcare,50,,,
Organon,OGN,Global Healthcare and Pharma,United States,Healthcare,45,,,
Biogen,BIIB,Global Healthcare and Pharma,United States,Healthcare,60,,,
GSK,GSK,Global Healthcare and Pharma,United Kingdom,Healthcare,75,,,
America Movil,AMXLMM,Latin America,Mexico,Telecom,80,,,
FEMSA,FEMSA,Latin America,Mexico,Consumer Staples,70,,,
Grupo Bimbo,BIMBOA,Latin America,Mexico,Consumer Staples,75,,,
Cemex,CEMEX,Latin America,Mexico,Materials,70,,,
Televisa,TELVIS,Latin America,Mexico,Media and Entertainment,70,,,
Ecopetrol,ECOPET,Latin America,Colombia,Energy,65,,,
Bancolombia,BCOLO,Latin America,Colombia,Financials,60,,,
Grupo Aval,AVALCB,Latin America,Colombia,Financials,50,,,
Cencosud,CENSUD,Latin America,Chile,Retail,60,,,
Falabella,FALAB,Latin America,Chile,Retail,60,,,
LATAM Airlines Group,LTM,Latin America,Chile,Airlines,75,,,
YPF,YPFDAR,Latin America,Argentina,Energy,65,,,
Petrobras,PETBRA,Brazil,Brazil,Energy,100,,,
Vale,VALEBZ,Brazil,Brazil,Materials and Mining,100,,,
Itau Unibanco,ITAU,Brazil,Brazil,Financials,100,,,
Bradesco,BRADES,Brazil,Brazil,Financials,100,,,
Banco do Brasil,BANBRA,Brazil,Brazil,Financials,100,,,
Suzano,SUZANO,Brazil,Brazil,Materials,90,,,
JBS,JBSSBZ,Brazil,Brazil,Protein and Food,95,,,
Marfrig,MARFRI,Brazil,Brazil,Protein and Food,85,,,
Gerdau,GGBRBZ,Brazil,Brazil,Steel,90,,,
CSN,CSNABZ,Brazil,Brazil,Steel and Mining,90,,,
Embraer,EMBRBZ,Brazil,Brazil,Aerospace,95,,,
Sabesp,SABESP,Brazil,Brazil,Utilities,90,,,
DISH Network,DISH,Global Communications and Digital Platforms,United States,Media and Telecom,80,,,
Lumen Technologies,LUMN,Global Communications and Digital Platforms,United States,Telecom,60,,,
Xerox,XRX,Global Communications and Digital Platforms,United States,Technology,80,,,
Telecom Italia,TITIM,Global Communications and Digital Platforms,Italy,Telecom,70,,,
Nokia,NOKIA,Global Communications and Digital Platforms,Finland,Technology,85,,,
American Airlines,AAL,Global Consumer and Leisure,United States,Airlines,90,,,
United Airlines,UAL,Global Consumer and Leisure,United States,Airlines,85,,,
Hertz,HTZ,Global Consumer and Leisure,United States,Car Rental,80,,,
Avis Budget,CAR,Global Consumer and Leisure,United States,Car Rental,75,,,
MGM Resorts,MGM,Global Consumer and Leisure,United States,Gaming and Leisure,80,,,
Caesars Entertainment,CZR,Global Consumer and Leisure,United States,Gaming and Leisure,75,,,
Macy's,M,Global Consumer and Leisure,United States,Retail,85,,,
Kohl's,KSS,Global Consumer and Leisure,United States,Retail,70,,,
Nordstrom,JWN,Global Consumer and Leisure,United States,Retail,75,,,
Gap,GPS,Global Consumer and Leisure,United States,Retail,85,,,
Mattel,MAT,Global Consumer and Leisure,United States,Consumer Brands,85,,,
Hasbro,HAS,Global Consumer and Leisure,United States,Consumer Brands,80,,,
Newell Brands,NWL,Global Consumer and Leisure,United States,Consumer Brands,60,,,
Expedia Group,EXPE,Global Consumer and Leisure,United States,Travel and Technology,85,,,
Bombardier,BBDBCN,"Global Industrials, Autos, and Aerospace",Canada,Aerospace,70,,,
Rolls-Royce,RRLN,"Global Industrials, Autos, and Aerospace",United Kingdom,Aerospace,85,,,
Deutsche Lufthansa,LHAGR,"Global Industrials, Autos, and Aerospace",Germany,Airlines,80,,,
Jaguar Land Rover,JAGLN,"Global Industrials, Autos, and Aerospace",United Kingdom,Automotive,80,,,
ThyssenKrupp,TKAGR,Global Energy and Materials,Germany,Steel and Industrials,70,,,
United States Steel,X,Global Energy and Materials,United States,Steel,75,,,
Alcoa,AA,Global Energy and Materials,United States,Materials and Mining,70,,,
Ally Financial,ALLY,Global Financials,United States,Financials,65,,,
Pemex,PEMEX,Latin America,Mexico,Energy,95,,,
CFE,CFELEC,Latin America,Mexico,Utilities,75,,,
Codelco,CDEL,Latin America,Chile,Materials and Mining,75,,,
Braskem,BRASKM,Brazil,Brazil,Chemicals,85,,,
Azul,AZULBZ,Brazil,Brazil,Airlines,90,,,
Globo,GLOPAR,Brazil,Brazil,Media and Entertainment,95,,,
